Price,Open,Close,Volume
Ticker,BRK-B,BRK-B,BRK-B
Date,,,
2021-01-04,231.72999572753906,228.4499969482422,7404900
2021-01-05,228.2100067138672,227.47000122070312,5524900
2021-01-06,229.49000549316406,230.27000427246094,9009400
2021-01-07,232.77999877929688,232.8800048828125,4691600
2021-01-08,233.5399932861328,234.02999877929688,4850400
2021-01-11,231.22000122070312,233.42999267578125,3882000
2021-01-12,233.30999755859375,233.02999877929688,5616600
2021-01-13,232.0,234.50999450683594,3827500
2021-01-14,234.7899932861328,235.02000427246094,4528700
2021-01-15,234.10000610351562,233.49000549316406,5225000
2021-01-19,234.63999938964844,234.5500030517578,5502100
2021-01-20,234.0,234.75999450683594,4876200
2021-01-21,235.22000122070312,234.16000366210938,4317300
2021-01-22,232.5,232.9199981689453,4465000
2021-01-25,231.6699981689453,233.00999450683594,5097700
2021-01-26,233.0,231.57000732421875,3944800
2021-01-27,230.0,227.36000061035156,8227100
2021-01-28,229.75999450683594,230.9499969482422,5943500
2021-01-29,229.4499969482422,227.8699951171875,6387300
2021-02-01,229.97000122070312,229.32000732421875,4068200
2021-02-02,231.2100067138672,232.24000549316406,5300300
2021-02-03,232.39999389648438,232.67999267578125,3805600
2021-02-04,232.83999633789062,235.77000427246094,4438400
2021-02-05,236.97999572753906,235.16000366210938,3812200
2021-02-08,236.0,237.4199981689453,3327300
2021-02-09,237.07000732421875,239.91000366210938,4773400
2021-02-10,241.42999267578125,239.9199981689453,3822600
2021-02-11,239.36000061035156,239.75999450683594,2908500
2021-02-12,238.07000732421875,242.4600067138672,3421800
2021-02-16,244.13999938964844,245.27999877929688,4722200
2021-02-17,244.13999938964844,245.25,3909500
2021-02-18,244.72999572753906,243.5,4031000
2021-02-19,244.1999969482422,241.85000610351562,4252400
2021-02-22,240.88999938964844,244.97000122070312,4009100
2021-02-23,245.55999755859375,245.52999877929688,5454900
2021-02-24,245.14999389648438,248.4499969482422,5105900
2021-02-25,248.07000732421875,243.69000244140625,6455200
2021-02-26,245.14999389648438,240.50999450683594,8085300
2021-03-01,246.86000061035156,249.2100067138672,6332300
2021-03-02,249.1199951171875,249.22000122070312,4684500
2021-03-03,249.72999572753906,251.5500030517578,6088300
2021-03-04,251.0800018310547,245.47999572753906,7827000
2021-03-05,248.88999938964844,253.14999389648438,6397000
2021-03-08,255.60000610351562,257.6099853515625,7124300
2021-03-09,258.54998779296875,259.0199890136719,8259300
2021-03-10,260.29998779296875,263.989990234375,8939300
2021-03-11,264.2200012207031,260.9100036621094,5917600
2021-03-12,262.3999938964844,260.0199890136719,4495400
2021-03-15,260.30999755859375,254.61000061035156,6973400
2021-03-16,254.52999877929688,251.5,67200
2021-03-17,252.02000427246094,252.0,67700
2021-03-18,253.75999450683594,252.4600067138672,5547300
2021-03-19,252.30999755859375,250.99000549316406,16635400
2021-03-22,250.60000610351562,250.36000061035156,5370400
2021-03-23,250.1999969482422,248.30999755859375,4622400
2021-03-24,249.5500030517578,249.6300048828125,4165000
2021-03-25,249.3800048828125,250.75,5500000
2021-03-26,252.75,256.7699890136719,5799100
2021-03-29,253.92999267578125,258.82000732421875,6642600
2021-03-30,259.94000244140625,258.19000244140625,3878000
2021-03-31,256.8599853515625,255.47000122070312,6578100
2021-04-01,255.74000549316406,258.20001220703125,5573400
2021-04-05,260.0199890136719,262.6600036621094,5049600
2021-04-06,262.8599853515625,263.05999755859375,3060600
2021-04-07,262.989990234375,263.6199951171875,3582700
2021-04-08,262.7200012207031,263.510009765625,3113300
2021-04-09,264.2200012207031,266.010009765625,6052500
2021-04-12,266.5299987792969,267.92999267578125,4292900
2021-04-13,267.4200134277344,267.1000061035156,3556600
2021-04-14,267.30999755859375,267.5299987792969,3119900
2021-04-15,268.05999755859375,269.1400146484375,3919200
2021-04-16,270.4700012207031,272.1099853515625,4710300
